Ticker,Summary,Label,Confidence,URL
MRNA,"Preclinical data for OTX-2002 to be presented at AACR meeting in New Orleans, Louisiana, April 8-12, 2022.",POSITIVE,0.8215537071228027,https://finance.yahoo.com/news/omega-therapeutics-present-preclinical-data-220500793.html
MRNA,Moderna to open Americas Enterprise Solutions Hub in Atlanta. Company expects to hire approximately 150-200 full-time employees in Atlanta,POSITIVE,0.9550777077674866,https://finance.yahoo.com/news/moderna-announces-establishment-enterprise-solutions-142500193.html
MRNA,"RNA-based Therapeutics, Covid-19 Vaccines to be in Focus in 2022.",POSITIVE,0.9860848188400269,https://finance.yahoo.com/news/global-mrna-platform-industry-124400904.html
MRNA,"Moderna delivered 807 million doses of Spikevax in 2021 to low, middle-income countries",NEGATIVE,0.6368573307991028,https://finance.yahoo.com/news/moderna-reports-fourth-quarter-fiscal-115700281.html
MRNA,Moderna to advance 15 pathogen vaccine programs into clinical studies by 2025.,POSITIVE,0.9973275661468506,https://finance.yahoo.com/news/moderna-announces-global-public-health-000000722.html
MRNA,Preclinical data show SQZ eAPCs can drive strong CD8 T cell responses against a variety of diseases.,POSITIVE,0.953486979007721,https://finance.yahoo.com/news/sqz-biotechnologies-present-enhanced-apc-214500640.html
MRNA,"Company to establish commercial presence in Belgium, Denmark, Norway, the Netherlands, Poland, and Sweden.",POSITIVE,0.9991018772125244,https://finance.yahoo.com/news/moderna-announces-plan-expand-commercial-230100689.html
MRNA,Moderna and ROVI to expand partnership to service future Moderna vaccine candidates. Long-term agreement includes a series of investments to acquire new equipment and facilities,POSITIVE,0.9963034391403198,https://finance.yahoo.com/news/moderna-rovi-expand-long-term-070500406.html
MRNA,Analysts are expecting sales of $6.8 billion for the fourth quarter. Moderna’s share price has declined 8.5% in the past year,NEGATIVE,0.9971873164176941,https://finance.yahoo.com/news/beat-likely-moderna-mrna-earnings-151703164.html
MRNA,"Financial results for the fourth quarter and full year ended December 31, 2022",POSITIVE,0.5601240396499634,https://finance.yahoo.com/news/matinas-biopharma-reports-fourth-quarter-113000787.html
APPL,Shares of Apple and Microsoft are trading at P/E multiples. Investors must determine whether one or both companies have growth potential,NEGATIVE,0.9854797720909119,https://seekingalpha.com/article/4493384-apple-vs-microsoft-stock-better-buy
APPL,"Geopolitical tensions continue to escalate, and speculation as to whether China will invade Taiwan.",NEGATIVE,0.9777559041976929,https://seekingalpha.com/article/4493318-apple-stock-scenarios-possibilities-manufacture-earnings
APPL,Apple’s Russia revenues in 2020 represented less than 1% of total sales.,NEGATIVE,0.9991326928138733,https://www.thestreet.com/apple/news/how-important-is-russia-to-apples-business
APPL,FT Economics offers thought leadership and analysis on the world economy.,POSITIVE,0.9989722967147827,https://www.ft.com/content/8d51b4a1-81fc-42a2-aad9-9c9bd2736675
